,INDEX,VD,,"OSFP Port#","OSFP Lane#",VD,"Port Group","Rx Ramon3","Rx Core","Physical Rx Lane","Rx 2x2 Mux","Post-Mux Rx Lane","Tx Ramon3","Tx Core","Physical Tx Lane","Tx 8x8 Mux","Post-Mux Tx Lane",,"Rx Trace Loss","Tx Trace Loss",,Pre3,Pre2,Pre,Main,Post,Post2
,57,R1.1,,8,1,3,0,1,61,3,x,7,1,61,2,x,7,,5.8,6.2,,0,0,-8,104,-4,0
,58,R0.1,,8,2,1,0,0,2,3,x,7,0,2,3,x,7,,12.5,11.7,,0,2,-12,120,-4,0
,59,R1.0,,8,3,2,0,1,61,1,,1,1,61,0,x,1,,6.0,6.3,,0,0,-8,104,-4,0
,60,R0.0,,8,4,0,0,0,2,1,,1,0,2,1,-,1,,12.6,12.0,,0,2,-12,120,-4,0
,61,R1.1,,8,5,3,0,1,60,7,,7,1,60,6,x,7,,6.0,6.5,,0,0,-8,104,-4,0
,62,R0.1,,8,6,1,0,0,3,7,,7,0,3,7,-,7,,12.4,12.3,,0,2,-12,120,-4,0
,63,R1.0,,8,7,2,0,1,60,5,x,1,1,60,4,x,1,,6.2,6.6,,0,0,-8,104,-4,0
,64,R0.0,,8,8,0,0,0,3,5,x,1,0,3,5,x,1,,12.5,12.6,,0,2,-12,120,-4,0
,65,R1.1,,9,1,3,0,1,58,4,,4,1,58,0,x,4,,10.7,11.0,,0,2,-16,128,-4,0
,66,R0.1,,9,2,1,0,0,5,4,,4,0,5,3,x,4,,5.1,4.2,,0,0,-8,104,-4,0
,67,R1.0,,9,3,2,0,1,58,0,,0,1,58,4,x,0,,10.7,11.0,,0,2,-16,128,-4,0
,68,R0.0,,9,4,0,0,0,5,0,,0,0,5,7,x,0,,4.9,4.3,,0,0,-8,104,-4,0
,69,R1.0,,9,5,2,0,1,59,0,,0,1,59,0,-,0,,10.9,10.9,,0,2,-16,128,-4,0
,70,R0.0,,9,6,0,0,0,4,0,,0,0,4,3,x,0,,5.0,4.7,,0,0,-8,104,-4,0
,71,R1.1,,9,7,3,0,1,59,4,,4,1,59,4,-,4,,11.0,11.0,,0,2,-16,128,-4,0
,72,R0.1,,9,8,1,0,0,4,4,,4,0,4,7,x,4,,5.0,4.9,,0,0,-8,104,-4,0
,73,R1.1,,10,1,3,0,1,56,4,,4,1,56,1,x,4,,9.5,10.1,,0,2,-16,116,-4,0
,74,R0.1,,10,2,1,0,0,7,4,,4,0,7,0,x,4,,5.7,5.0,,0,0,-8,104,-4,0
,75,R1.0,,10,3,2,0,1,56,0,,0,1,56,5,x,0,,9.5,9.9,,0,2,-16,116,-4,0
,76,R0.0,,10,4,0,0,0,7,0,,0,0,7,4,x,0,,5.6,5.2,,0,0,-8,104,-4,0
,77,R1.1,,10,5,3,0,1,57,4,,4,1,57,1,x,4,,9.8,10.0,,0,2,-16,116,-4,0
,78,R0.1,,10,6,1,0,0,6,4,,4,0,6,0,x,4,,5.7,5.3,,0,0,-8,104,-4,0
,79,R1.0,,10,7,2,0,1,57,0,,0,1,57,5,x,0,,9.8,9.9,,0,2,-16,116,-4,0
,80,R0.0,,10,8,0,0,0,6,0,,0,0,6,4,x,0,,5.6,5.5,,0,0,-8,104,-4,0
,81,R1.1,,11,1,3,0,1,58,5,,5,1,58,1,x,5,,8.8,9.4,,0,2,-16,116,-4,0
,82,R0.1,,11,2,1,0,0,5,5,,5,0,5,0,x,5,,6.7,6.2,,0,2,-12,108,-4,0
,83,R1.0,,11,3,2,0,1,58,1,,1,1,58,5,x,1,,9.0,9.3,,0,2,-16,116,-4,0
,84,R0.0,,11,4,0,0,0,5,1,,1,0,5,4,x,1,,6.8,6.3,,0,2,-12,108,-4,0
,85,R1.0,,11,5,2,0,1,59,1,,1,1,59,1,-,1,,9.3,9.3,,0,2,-16,116,-4,0
,86,R0.0,,11,6,0,0,0,4,1,,1,0,4,0,x,1,,6.9,6.3,,0,2,-12,108,-4,0
,87,R1.1,,11,7,3,0,1,59,5,,5,1,59,5,-,5,,9.4,9.2,,0,2,-16,116,-4,0
,88,R0.1,,11,8,1,0,0,4,5,,5,0,4,4,x,5,,6.9,6.6,,0,2,-12,108,-4,0
,89,R1.1,,12,1,3,0,1,56,5,,5,1,56,2,x,5,,7.6,8.2,,0,2,-16,112,-4,0
,90,R0.1,,12,2,1,0,0,7,5,,5,0,7,1,x,5,,7.3,6.9,,0,2,-12,108,-4,0
,91,R1.0,,12,3,2,0,1,56,1,,1,1,56,6,x,1,,7.8,8.3,,0,2,-16,112,-4,0
,92,R0.0,,12,4,0,0,0,7,1,,1,0,7,5,x,1,,7.4,6.9,,0,2,-12,108,-4,0
,93,R1.1,,12,5,3,0,1,57,5,,5,1,57,2,x,5,,7.9,8.1,,0,2,-16,112,-4,0
,94,R0.1,,12,6,1,0,0,6,5,,5,0,6,1,x,5,,7.3,7.1,,0,2,-12,108,-4,0
,95,R1.0,,12,7,2,0,1,57,1,,1,1,57,6,x,1,,8.1,8.3,,0,2,-16,112,-4,0
,96,R0.0,,12,8,0,0,0,6,1,,1,0,6,5,x,1,,7.4,7.1,,0,2,-12,108,-4,0
,97,R1.0,,13,1,2,0,1,58,6,x,2,1,58,2,x,2,,7.3,7.5,,0,2,-12,112,-4,0
,98,R0.0,,13,2,0,0,0,5,6,x,2,0,5,1,x,2,,8.6,8.0,,0,2,-16,112,-4,0
,99,R1.1,,13,3,3,0,1,58,2,x,6,1,58,6,x,6,,7.3,7.7,,0,2,-12,112,-4,0
,100,R0.1,,13,4,1,0,0,5,2,x,6,0,5,5,x,6,,8.6,8.0,,0,2,-16,112,-4,0
,101,R1.1,,13,5,3,0,1,59,2,x,6,1,59,2,x,6,,7.3,7.5,,0,2,-12,112,-4,0
,102,R0.1,,13,6,1,0,0,4,2,x,6,0,4,1,x,6,,8.4,8.2,,0,2,-16,112,-4,0
,103,R1.0,,13,7,2,0,1,59,6,x,2,1,59,6,x,2,,7.5,7.5,,0,2,-12,112,-4,0
,104,R0.0,,13,8,0,0,0,4,6,x,2,0,4,5,x,2,,8.4,8.2,,0,2,-16,112,-4,0
,105,R1.0,,14,1,2,0,1,56,6,x,2,1,56,3,x,2,,6.1,6.4,,0,0,-8,112,-4,0
,106,R0.0,,14,2,0,0,0,7,6,x,2,0,7,2,x,2,,9.3,8.5,,0,2,-16,112,-4,0
,107,R1.1,,14,3,3,0,1,56,2,x,6,1,56,7,x,6,,6.2,6.3,,0,0,-8,112,-4,0
,108,R0.1,,14,4,1,0,0,7,2,x,6,0,7,6,x,6,,9.2,8.7,,0,2,-16,112,-4,0
,109,R1.0,,14,5,2,0,1,57,6,x,2,1,57,3,x,2,,6.4,6.3,,0,0,-8,112,-4,0
,110,R0.0,,14,6,0,0,0,6,6,x,2,0,6,2,x,2,,9.3,8.7,,0,2,-16,112,-4,0
,111,R1.1,,14,7,3,0,1,57,2,x,6,1,57,7,x,6,,6.5,6.3,,0,0,-8,112,-4,0
,112,R0.1,,14,8,1,0,0,6,2,x,6,0,6,6,x,6,,9.2,9.0,,0,2,-16,112,-4,0
,113,R1.0,,15,1,2,0,1,58,7,x,3,1,58,3,x,3,,5.4,5.7,,0,0,-8,104,-4,0
,114,R0.0,,15,2,0,0,0,5,7,x,3,0,5,2,x,3,,10.2,9.6,,0,2,-16,116,-4,0
,115,R1.1,,15,3,3,0,1,58,3,x,7,1,58,7,x,7,,5.7,5.7,,0,0,-8,104,-4,0
,116,R0.1,,15,4,1,0,0,5,3,x,7,0,5,6,x,7,,10.4,9.9,,0,2,-16,116,-4,0
,117,R1.1,,15,5,3,0,1,59,3,x,7,1,59,3,x,7,,5.7,5.9,,0,0,-8,104,-4,0
,118,R0.1,,15,6,1,0,0,4,3,x,7,0,4,2,x,7,,10.3,9.9,,0,2,-16,116,-4,0
,119,R1.0,,15,7,2,0,1,59,7,x,3,1,59,7,x,3,,5.9,5.9,,0,0,-8,104,-4,0
,120,R0.0,,15,8,0,0,0,4,7,x,3,0,4,6,x,3,,10.3,10.0,,0,2,-16,116,-4,0
,121,R1.0,,16,1,2,0,1,56,7,x,3,1,56,0,x,3,,4.2,4.7,,0,0,-8,104,-4,0
,122,R0.0,,16,2,0,0,0,7,7,x,3,0,7,3,x,3,,10.9,10.1,,0,2,-16,120,-4,0
,123,R1.1,,16,3,3,0,1,56,3,x,7,1,56,4,x,7,,4.5,4.7,,0,0,-8,104,-4,0
,124,R0.1,,16,4,1,0,0,7,3,x,7,0,7,7,x,7,,11.0,10.2,,0,2,-16,120,-4,0
,125,R1.0,,16,5,2,0,1,57,7,x,3,1,57,0,x,3,,4.5,4.7,,0,0,-8,104,-4,0
,126,R0.0,,16,6,0,0,0,6,7,x,3,0,6,3,x,3,,10.9,10.4,,0,2,-16,120,-4,0
,127,R1.1,,16,7,3,0,1,57,3,x,7,1,57,4,x,7,,4.8,4.7,,0,0,-8,104,-4,0
,128,R0.1,,16,8,1,0,0,6,3,x,7,0,6,7,x,7,,11.0,10.5,,0,2,-16,120,-4,0
,129,R1.1,,17,1,3,1,1,54,4,,4,1,54,0,x,4,,10.1,10.5,,0,2,-12,120,-4,0
,130,R0.1,,17,2,1,1,0,9,4,,4,0,9,3,x,4,,4.5,3.6,,0,0,-8,104,-4,0
,131,R1.0,,17,3,2,1,1,54,0,,0,1,54,4,x,0,,10.1,10.5,,0,2,-12,120,-4,0
,132,R0.0,,17,4,0,1,0,9,0,,0,0,9,7,x,0,,4.4,3.7,,0,0,-8,104,-4,0
,133,R1.1,,17,5,3,1,1,55,4,,4,1,55,0,x,4,,10.4,10.5,,0,2,-12,120,-4,0
,134,R0.1,,17,6,1,1,0,8,4,,4,0,8,3,x,4,,4.5,3.9,,0,0,-8,104,-4,0
,135,R1.0,,17,7,2,1,1,55,0,,0,1,55,4,x,0,,10.4,10.5,,0,2,-12,120,-4,0
,136,R0.0,,17,8,0,1,0,8,0,,0,0,8,7,x,0,,4.3,4.0,,0,0,-8,104,-4,0
,137,R1.1,,18,1,3,1,1,52,4,,4,1,52,1,x,4,,8.9,9.5,,0,2,-12,112,-4,0
,138,R0.1,,18,2,1,1,0,11,4,,4,0,11,0,x,4,,5.1,4.5,,0,0,-8,104,-4,0
,139,R1.0,,18,3,2,1,1,52,0,,0,1,52,5,x,0,,8.9,9.3,,0,2,-12,112,-4,0
,140,R0.0,,18,4,0,1,0,11,0,,0,0,11,4,x,0,,5.0,4.6,,0,0,-8,104,-4,0
,141,R1.1,,18,5,3,1,1,53,4,,4,1,53,1,x,4,,9.2,9.5,,0,2,-12,112,-4,0
,142,R0.1,,18,6,1,1,0,10,4,,4,0,10,0,x,4,,5.1,4.8,,0,0,-8,104,-4,0
,143,R1.0,,18,7,2,1,1,53,0,,0,1,53,5,x,0,,9.2,9.3,,0,2,-12,112,-4,0
,144,R0.0,,18,8,0,1,0,10,0,,0,0,10,4,x,0,,5.0,4.9,,0,0,-8,104,-4,0
,145,R1.1,,19,1,3,1,1,54,5,,5,1,54,1,x,5,,8.2,8.9,,0,2,-12,112,-4,0
,146,R0.1,,19,2,1,1,0,9,5,,5,0,9,0,x,5,,6.1,5.7,,0,0,-8,104,-4,0
,147,R1.0,,19,3,2,1,1,54,1,,1,1,54,5,x,1,,8.4,8.7,,0,2,-12,112,-4,0
,148,R0.0,,19,4,0,1,0,9,1,,1,0,9,4,x,1,,6.2,5.8,,0,0,-8,104,-4,0
,149,R1.1,,19,5,3,1,1,55,5,,5,1,55,1,x,5,,8.5,8.8,,0,2,-12,112,-4,0
,150,R0.1,,19,6,1,1,0,8,5,,5,0,8,0,x,5,,6.1,5.9,,0,0,-8,104,-4,0
,151,R1.0,,19,7,2,1,1,55,1,,1,1,55,5,x,1,,8.7,8.7,,0,2,-12,112,-4,0
,152,R0.0,,19,8,0,1,0,8,1,,1,0,8,4,x,1,,6.2,6.1,,0,0,-8,104,-4,0
,153,R1.1,,20,1,3,1,1,52,5,,5,1,52,2,x,5,,7.0,7.6,,0,2,-12,112,-4,0
,154,R0.1,,20,2,1,1,0,11,5,,5,0,11,1,x,5,,6.7,6.3,,0,2,-12,108,-4,0
,155,R1.0,,20,3,2,1,1,52,1,,1,1,52,6,x,1,,7.2,7.8,,0,2,-12,112,-4,0
,156,R0.0,,20,4,0,1,0,11,1,,1,0,11,5,x,1,,6.8,6.3,,0,2,-12,108,-4,0
,157,R1.1,,20,5,3,1,1,53,5,,5,1,53,2,x,5,,7.3,7.6,,0,2,-12,112,-4,0
,158,R0.1,,20,6,1,1,0,10,5,,5,0,10,1,x,5,,6.7,6.6,,0,2,-12,108,-4,0
,159,R1.0,,20,7,2,1,1,53,1,,1,1,53,6,x,1,,7.5,7.7,,0,2,-12,112,-4,0
,160,R0.0,,20,8,0,1,0,10,1,,1,0,10,5,x,1,,6.8,6.6,,0,2,-12,108,-4,0
,161,R1.0,,21,1,2,1,1,54,6,x,2,1,54,2,x,2,,6.6,7.0,,0,0,-8,100,0,0
,162,R0.0,,21,2,0,1,0,9,6,x,2,0,9,1,x,2,,8.1,7.5,,0,2,-12,112,-4,0
,163,R1.1,,21,3,3,1,1,54,2,x,6,1,54,6,x,6,,6.7,7.1,,0,0,-8,100,0,0
,164,R0.1,,21,4,1,1,0,9,2,x,6,0,9,5,x,6,,8.0,7.5,,0,2,-12,112,-4,0
,165,R1.0,,21,5,2,1,1,55,6,x,2,1,55,2,x,2,,6.9,7.0,,0,0,-8,100,0,0
,166,R0.0,,21,6,0,1,0,8,6,x,2,0,8,1,x,2,,8.0,7.7,,0,2,-12,112,-4,0
,167,R1.1,,21,7,3,1,1,55,2,x,6,1,55,6,x,6,,7.0,7.1,,0,0,-8,100,0,0
,168,R0.1,,21,8,1,1,0,8,2,x,6,0,8,5,x,6,,8.0,7.7,,0,2,-12,112,-4,0
,169,R1.0,,22,1,2,1,1,52,6,x,2,1,52,3,x,2,,5.5,5.8,,0,0,-8,104,-4,0
,170,R0.0,,22,2,0,1,0,11,6,x,2,0,11,2,x,2,,8.7,7.9,,0,2,-16,112,-4,0
,171,R1.1,,22,3,3,1,1,52,2,x,6,1,52,7,x,6,,5.6,5.8,,0,0,-8,104,-4,0
,172,R0.1,,22,4,1,1,0,11,2,x,6,0,11,6,x,6,,8.6,8.2,,0,2,-16,112,-4,0
,173,R1.0,,22,5,2,1,1,53,6,x,2,1,53,3,x,2,,5.8,5.8,,0,0,-8,104,-4,0
,174,R0.0,,22,6,0,1,0,10,6,x,2,0,10,2,x,2,,8.7,8.2,,0,2,-16,112,-4,0
,175,R1.1,,22,7,3,1,1,53,2,x,6,1,53,7,x,6,,5.8,5.8,,0,0,-8,104,-4,0
,176,R0.1,,22,8,1,1,0,10,2,x,6,0,10,6,x,6,,8.6,8.5,,0,2,-16,112,-4,0
,177,R1.0,,23,1,2,1,1,54,7,x,3,1,54,3,x,3,,4.7,5.2,,0,0,-8,104,-4,0
,178,R0.0,,23,2,0,1,0,9,7,x,3,0,9,2,x,3,,9.7,9.1,,0,2,-16,112,-4,0
,179,R1.1,,23,3,3,1,1,54,3,x,7,1,54,7,x,7,,5.0,5.1,,0,0,-8,104,-4,0
,180,R0.1,,23,4,1,1,0,9,3,x,7,0,9,6,x,7,,9.8,9.4,,0,2,-16,112,-4,0
,181,R1.0,,23,5,2,1,1,55,7,x,3,1,55,3,x,3,,5.0,5.1,,0,0,-8,104,-4,0
,182,R0.0,,23,6,0,1,0,8,7,x,3,0,8,2,x,3,,9.6,9.3,,0,2,-16,112,-4,0
,183,R1.1,,23,7,3,1,1,55,3,x,7,1,55,7,x,7,,5.3,5.1,,0,0,-8,104,-4,0
,184,R0.1,,23,8,1,1,0,8,3,x,7,0,8,6,x,7,,9.8,9.6,,0,2,-16,112,-4,0
,185,R1.0,,24,1,2,1,1,52,7,x,3,1,52,0,x,3,,3.6,4.1,,0,0,-8,104,-4,0
,186,R0.0,,24,2,0,1,0,11,7,x,3,0,11,3,x,3,,10.3,9.5,,0,2,-16,116,-4,0
,187,R1.1,,24,3,3,1,1,52,3,x,7,1,52,4,x,7,,3.9,4.1,,0,0,-8,104,-4,0
,188,R0.1,,24,4,1,1,0,11,3,x,7,0,11,7,x,7,,10.4,9.7,,0,2,-16,116,-4,0
,189,R1.0,,24,5,2,1,1,53,7,x,3,1,53,0,x,3,,3.9,4.1,,0,0,-8,104,-4,0
,190,R0.0,,24,6,0,1,0,10,7,x,3,0,10,3,x,3,,10.3,9.8,,0,2,-16,116,-4,0
,191,R1.1,,24,7,3,1,1,53,3,x,7,1,53,4,x,7,,4.1,4.1,,0,0,-8,104,-4,0
,192,R0.1,,24,8,1,1,0,10,3,x,7,0,10,7,x,7,,10.4,10.0,,0,2,-16,116,-4,0
,193,R1.1,,25,1,3,1,1,50,4,,4,1,50,0,x,4,,9.9,9.9,,0,2,-12,116,-4,0
,194,R0.1,,25,2,1,1,0,13,4,,4,0,13,3,x,4,,3.9,3.1,,0,0,-8,104,-4,0
,195,R1.0,,25,3,2,1,1,50,0,,0,1,50,4,x,0,,9.9,9.9,,0,2,-12,116,-4,0
,196,R0.0,,25,4,0,1,0,13,0,,0,0,13,7,x,0,,3.8,3.2,,0,0,-8,104,-4,0
,197,R1.1,,25,5,3,1,1,51,4,,4,1,51,0,x,4,,10.2,9.9,,0,2,-12,116,-4,0
,198,R0.1,,25,6,1,1,0,12,4,,4,0,12,3,x,4,,3.9,3.4,,0,0,-8,104,-4,0
,199,R1.0,,25,7,2,1,1,51,0,,0,1,51,4,x,0,,10.2,9.9,,0,2,-12,116,-4,0
,200,R0.0,,25,8,0,1,0,12,0,,0,0,12,7,x,0,,3.7,3.5,,0,0,-8,104,-4,0
,201,R1.1,,26,1,3,1,1,48,4,,4,1,48,1,x,4,,8.7,9.4,,0,2,-16,128,-8,0
,202,R0.1,,26,2,1,1,0,15,4,,4,0,15,0,x,4,,4.6,4.2,,0,0,-8,104,-4,0
,203,R1.0,,26,3,2,1,1,48,0,,0,1,48,5,x,0,,8.7,9.3,,0,2,-16,128,-8,0
,204,R0.0,,26,4,0,1,0,15,0,,0,0,15,4,x,0,,4.4,4.3,,0,0,-8,104,-4,0
,205,R1.1,,26,5,3,1,1,49,4,,4,1,49,1,x,4,,9.0,9.4,,0,2,-16,128,-8,0
,206,R0.1,,26,6,1,1,0,14,4,,4,0,14,0,x,4,,4.6,4.5,,0,0,-8,104,-4,0
,207,R1.0,,26,7,2,1,1,49,0,,0,1,49,5,x,0,,9.0,9.2,,0,2,-16,128,-8,0
,208,R0.0,,26,8,0,1,0,14,0,,0,0,14,4,x,0,,4.4,4.6,,0,0,-8,104,-4,0
,209,R1.1,,27,1,3,1,1,50,5,,5,1,50,1,x,5,,8.0,8.7,,0,2,-12,120,-4,0
,210,R0.1,,27,2,1,1,0,13,5,,5,0,13,0,x,5,,5.5,5.4,,0,0,-8,104,-4,0
,211,R1.0,,27,3,2,1,1,50,1,,1,1,50,5,x,1,,8.2,8.5,,0,2,-12,120,-4,0
,212,R0.0,,27,4,0,1,0,13,1,,1,0,13,4,x,1,,5.6,5.5,,0,0,-8,104,-4,0
,213,R1.1,,27,5,3,1,1,51,5,,5,1,51,1,x,5,,8.2,8.7,,0,2,-12,120,-4,0
,214,R0.1,,27,6,1,1,0,12,5,,5,0,12,0,x,5,,5.5,5.7,,0,0,-8,104,-4,0
,215,R1.0,,27,7,2,1,1,51,1,,1,1,51,5,x,1,,8.4,8.5,,0,2,-12,120,-4,0
,216,R0.0,,27,8,0,1,0,12,1,,1,0,12,4,x,1,,5.6,5.8,,0,0,-8,104,-4,0
,217,R1.1,,28,1,3,1,1,48,5,,5,1,48,2,x,5,,6.8,7.4,,0,2,-12,108,-4,0
,218,R0.1,,28,2,1,1,0,15,5,,5,0,15,1,x,5,,6.2,6.1,,0,0,-8,100,0,0
,219,R1.0,,28,3,2,1,1,48,1,,1,1,48,6,x,1,,7.0,7.6,,0,2,-12,108,-4,0
,220,R0.0,,28,4,0,1,0,15,1,,1,0,15,5,x,1,,6.2,6.1,,0,0,-8,100,0,0
,221,R1.1,,28,5,3,1,1,49,5,,5,1,49,2,x,5,,7.0,7.4,,0,2,-12,108,-4,0
,222,R0.1,,28,6,1,1,0,14,5,,5,0,14,1,x,5,,6.2,6.4,,0,0,-8,100,0,0
,223,R1.0,,28,7,2,1,1,49,1,,1,1,49,6,x,1,,7.2,7.5,,0,2,-12,108,-4,0
