INDEX,VD,Group,,OSFP Port#,OSFP Lane#,Ramon3,VD,Port Group,Serdes Core,Physical Lane,Rx 2x2 Mux,Logical Lane
158,R0.1,1,,20,6,0,1,1,11,5,,5
159,R1.0,1,,20,7,1,0,6,52,1,,1
160,R0.0,1,,20,8,0,0,1,11,1,,1
161,R1.0,1,,21,1,1,0,6,55,6,x,2
162,R0.0,1,,21,2,0,0,1,8,6,x,2
163,R1.1,1,,21,3,1,1,6,55,2,x,6
164,R0.1,1,,21,4,0,1,1,8,2,x,6
165,R1.0,1,,21,5,1,0,6,54,6,x,2
166,R0.0,1,,21,6,0,0,1,9,6,x,2
167,R1.1,1,,21,7,1,1,6,54,2,x,6
168,R0.1,1,,21,8,0,1,1,9,2,x,6
169,R1.0,1,,22,1,1,0,6,53,6,x,2
170,R0.0,1,,22,2,0,0,1,10,6,x,2
171,R1.1,1,,22,3,1,1,6,53,2,x,6
172,R0.1,1,,22,4,0,1,1,10,2,x,6
173,R1.0,1,,22,5,1,0,6,52,6,x,2
174,R0.0,1,,22,6,0,0,1,11,6,x,2
175,R1.1,1,,22,7,1,1,6,52,2,x,6
176,R0.1,1,,22,8,0,1,1,11,2,x,6
177,R1.0,1,,23,1,1,0,6,55,7,x,3
178,R0.0,1,,23,2,0,0,1,8,7,x,3
179,R1.1,1,,23,3,1,1,6,55,3,x,7
180,R0.1,1,,23,4,0,1,1,8,3,x,7
181,R1.0,1,,23,5,1,0,6,54,7,x,3
182,R0.0,1,,23,6,0,0,1,9,7,x,3
183,R1.1,1,,23,7,1,1,6,54,3,x,7
184,R0.1,1,,23,8,0,1,1,9,3,x,7
185,R1.0,1,,24,1,1,0,6,53,7,x,3
186,R0.0,1,,24,2,0,0,1,10,7,x,3
187,R1.1,1,,24,3,1,1,6,53,3,x,7
188,R0.1,1,,24,4,0,1,1,10,3,x,7
189,R1.0,1,,24,5,1,0,6,52,7,x,3
190,R0.0,1,,24,6,0,0,1,11,7,x,3
191,R1.1,1,,24,7,1,1,6,52,3,x,7
192,R0.1,1,,24,8,0,1,1,11,3,x,7
193,R1.1,1,,25,1,1,1,6,51,4,,4
194,R0.1,1,,25,2,0,1,1,12,4,,4
195,R1.0,1,,25,3,1,0,6,51,0,,0
196,R0.0,1,,25,4,0,0,1,12,0,,0
197,R1.1,1,,25,5,1,1,6,50,4,,4
198,R0.1,1,,25,6,0,1,1,13,4,,4
199,R1.0,1,,25,7,1,0,6,50,0,,0
200,R0.0,1,,25,8,0,0,1,13,0,,0
201,R1.1,1,,26,1,1,1,6,49,4,,4
202,R0.1,1,,26,2,0,1,1,14,4,,4
203,R1.0,1,,26,3,1,0,6,49,0,,0
204,R0.0,1,,26,4,0,0,1,14,0,,0
205,R1.1,1,,26,5,1,1,6,48,4,,4
206,R0.1,1,,26,6,0,1,1,15,4,,4
207,R1.0,1,,26,7,1,0,6,48,0,,0
208,R0.0,1,,26,8,0,0,1,15,0,,0
209,R1.1,1,,27,1,1,1,6,51,5,,5
210,R0.1,1,,27,2,0,1,1,12,5,,5
211,R1.0,1,,27,3,1,0,6,51,1,,1
212,R0.0,1,,27,4,0,0,1,12,1,,1
213,R1.1,1,,27,5,1,1,6,50,5,,5
214,R0.1,1,,27,6,0,1,1,13,5,,5
215,R1.0,1,,27,7,1,0,6,50,1,,1
216,R0.0,1,,27,8,0,0,1,13,1,,1
217,R1.1,1,,28,1,1,1,6,49,5,,5
218,R0.1,1,,28,2,0,1,1,14,5,,5
219,R1.0,1,,28,3,1,0,6,49,1,,1
220,R0.0,1,,28,4,0,0,1,14,1,,1
221,R1.1,1,,28,5,1,1,6,48,5,,5
222,R0.1,1,,28,6,0,1,1,15,5,,5
223,R1.0,1,,28,7,1,0,6,48,1,,1
224,R0.0,1,,28,8,0,0,1,15,1,,1
225,R1.0,1,,29,1,1,0,6,51,6,x,2
226,R0.0,1,,29,2,0,0,1,12,6,x,2
227,R1.1,1,,29,3,1,1,6,51,2,x,6
228,R0.1,1,,29,4,0,1,1,12,2,x,6
229,R1.0,1,,29,5,1,0,6,50,6,x,2
230,R0.0,1,,29,6,0,0,1,13,6,x,2
231,R1.1,1,,29,7,1,1,6,50,2,x,6
232,R0.1,1,,29,8,0,1,1,13,2,x,6
233,R1.0,1,,30,1,1,0,6,49,6,x,2
234,R0.0,1,,30,2,0,0,1,14,6,x,2
235,R1.1,1,,30,3,1,1,6,49,2,x,6
236,R0.1,1,,30,4,0,1,1,14,2,x,6
237,R1.0,1,,30,5,1,0,6,48,6,x,2
238,R0.0,1,,30,6,0,0,1,15,6,x,2
239,R1.1,1,,30,7,1,1,6,48,2,x,6
240,R0.1,1,,30,8,0,1,1,15,2,x,6
241,R1.0,1,,31,1,1,0,6,51,7,x,3
242,R0.0,1,,31,2,0,0,1,12,7,x,3
243,R1.1,1,,31,3,1,1,6,51,3,x,7
244,R0.1,1,,31,4,0,1,1,12,3,x,7
245,R1.0,1,,31,5,1,0,6,50,7,x,3
246,R0.0,1,,31,6,0,0,1,13,7,x,3
247,R1.1,1,,31,7,1,1,6,50,3,x,7
248,R0.1,1,,31,8,0,1,1,13,3,x,7
249,R1.0,1,,32,1,1,0,6,49,7,x,3
250,R0.0,1,,32,2,0,0,1,14,7,x,3
251,R1.1,1,,32,3,1,1,6,49,3,x,7
252,R0.1,1,,32,4,0,1,1,14,3,x,7
253,R1.0,1,,32,5,1,0,6,48,7,x,3
254,R0.0,1,,32,6,0,0,1,15,7,x,3
255,R1.1,1,,32,7,1,1,6,48,3,x,7
256,R0.1,1,,32,8,0,1,1,15,3,x,7
257,R1.1,2,,33,1,1,1,5,47,0,x,4
258,R0.1,2,,33,2,0,1,2,16,0,x,4
259,R1.0,2,,33,3,1,0,5,47,4,x,0
260,R0.0,2,,33,4,0,0,2,16,4,x,0
261,R1.1,2,,33,5,1,1,5,46,0,x,4
262,R0.1,2,,33,6,0,1,2,17,0,x,4
263,R1.0,2,,33,7,1,0,5,46,4,x,0
264,R0.0,2,,33,8,0,0,2,17,4,x,0
265,R1.1,2,,34,1,1,1,5,45,0,x,4
266,R0.1,2,,34,2,0,1,2,18,0,x,4
267,R1.0,2,,34,3,1,0,5,45,4,x,0
268,R0.0,2,,34,4,0,0,2,18,4,x,0
269,R1.1,2,,34,5,1,1,5,44,0,x,4
270,R0.1,2,,34,6,0,1,2,19,0,x,4
271,R1.0,2,,34,7,1,0,5,44,4,x,0
272,R0.0,2,,34,8,0,0,2,19,4,x,0
273,R1.1,2,,35,1,1,1,5,47,1,x,5
274,R0.1,2,,35,2,0,1,2,16,1,x,5
275,R1.0,2,,35,3,1,0,5,47,5,x,1
276,R0.0,2,,35,4,0,0,2,16,5,x,1
277,R1.1,2,,35,5,1,1,5,46,1,x,5
278,R0.1,2,,35,6,0,1,2,17,1,x,5
279,R1.0,2,,35,7,1,0,5,46,5,x,1
280,R0.0,2,,35,8,0,0,2,17,5,x,1
281,R1.1,2,,36,1,1,1,5,45,1,x,5
282,R0.1,2,,36,2,0,1,2,18,1,x,5
283,R1.0,2,,36,3,1,0,5,45,5,x,1
284,R0.0,2,,36,4,0,0,2,18,5,x,1
285,R1.1,2,,36,5,1,1,5,44,1,x,5
286,R0.1,2,,36,6,0,1,2,19,1,x,5
287,R1.0,2,,36,7,1,0,5,44,5,x,1
288,R0.0,2,,36,8,0,0,2,19,5,x,1
289,R1.0,2,,37,1,1,0,5,47,2,,2
290,R0.0,2,,37,2,0,0,2,16,2,,2
291,R1.1,2,,37,3,1,1,5,47,6,,6
292,R0.1,2,,37,4,0,1,2,16,6,,6
293,R1.0,2,,37,5,1,0,5,46,2,,2
294,R0.0,2,,37,6,0,0,2,17,2,,2
295,R1.1,2,,37,7,1,1,5,46,6,,6
296,R0.1,2,,37,8,0,1,2,17,6,,6
297,R1.0,2,,38,1,1,0,5,45,2,,2
298,R0.0,2,,38,2,0,0,2,18,2,,2
299,R1.1,2,,38,3,1,1,5,45,6,,6
300,R0.1,2,,38,4,0,1,2,18,6,,6
301,R1.0,2,,38,5,1,0,5,44,2,,2
302,R0.0,2,,38,6,0,0,2,19,2,,2
303,R1.1,2,,38,7,1,1,5,44,6,,6
304,R0.1,2,,38,8,0,1,2,19,6,,6
305,R1.0,2,,39,1,1,0,5,47,3,,3
306,R0.0,2,,39,2,0,0,2,16,3,,3
307,R1.1,2,,39,3,1,1,5,47,7,,7
308,R0.1,2,,39,4,0,1,2,16,7,,7
309,R1.0,2,,39,5,1,0,5,46,3,,3
310,R0.0,2,,39,6,0,0,2,17,3,,3
311,R1.1,2,,39,7,1,1,5,46,7,,7
312,R0.1,2,,39,8,0,1,2,17,7,,7
313,R1.0,2,,40,1,1,0,5,45,3,,3
314,R0.0,2,,40,2,0,0,2,18,3,,3
315,R1.1,2,,40,3,1,1,5,45,7,,7
316,R0.1,2,,40,4,0,1,2,18,7,,7
317,R1.0,2,,40,5,1,0,5,44,3,,3
318,R0.0,2,,40,6,0,0,2,19,3,,3
319,R1.1,2,,40,7,1,1,5,44,7,,7
320,R0.1,2,,40,8,0,1,2,19,7,,7
321,R1.1,2,,41,1,1,1,5,43,0,x,4
322,R0.1,2,,41,2,0,1,2,20,0,x,4
323,R1.0,2,,41,3,1,0,5,43,4,x,0
324,R0.0,2,,41,4,0,0,2,20,4,x,0
325,R1.1,2,,41,5,1,1,5,42,0,x,4
326,R0.1,2,,41,6,0,1,2,21,0,x,4
327,R1.0,2,,41,7,1,0,5,42,4,x,0
328,R0.0,2,,41,8,0,0,2,21,4,x,0
329,R1.1,2,,42,1,1,1,5,41,0,x,4
330,R0.1,2,,42,2,0,1,2,22,0,x,4
331,R1.0,2,,42,3,1,0,5,41,4,x,0
332,R0.0,2,,42,4,0,0,2,22,4,x,0
333,R1.1,2,,42,5,1,1,5,40,0,x,4
334,R0.1,2,,42,6,0,1,2,23,0,x,4
335,R1.0,2,,42,7,1,0,5,40,4,x,0
336,R0.0,2,,42,8,0,0,2,23,4,x,0
337,R1.1,2,,43,1,1,1,5,43,1,x,5
338,R0.1,2,,43,2,0,1,2,20,1,x,5
339,R1.0,2,,43,3,1,0,5,43,5,x,1
340,R0.0,2,,43,4,0,0,2,20,5,x,1
341,R1.1,2,,43,5,1,1,5,42,1,x,5
342,R0.1,2,,43,6,0,1,2,21,1,x,5
343,R1.0,2,,43,7,1,0,5,42,5,x,1
344,R0.0,2,,43,8,0,0,2,21,5,x,1
345,R1.1,2,,44,1,1,1,5,41,1,x,5
346,R0.1,2,,44,2,0,1,2,22,1,x,5
347,R1.0,2,,44,3,1,0,5,41,5,x,1
348,R0.0,2,,44,4,0,0,2,22,5,x,1
349,R1.1,2,,44,5,1,1,5,40,1,x,5
350,R0.1,2,,44,6,0,1,2,23,1,x,5
351,R1.0,2,,44,7,1,0,5,40,5,x,1
352,R0.0,2,,44,8,0,0,2,23,5,x,1
353,R1.0,2,,45,1,1,0,5,43,2,,2
354,R0.0,2,,45,2,0,0,2,20,2,,2
355,R1.1,2,,45,3,1,1,5,43,6,,6
356,R0.1,2,,45,4,0,1,2,20,6,,6
357,R1.0,2,,45,5,1,0,5,42,2,,2
358,R0.0,2,,45,6,0,0,2,21,2,,2
359,R1.1,2,,45,7,1,1,5,42,6,,6
360,R0.1,2,,45,8,0,1,2,21,6,,6
361,R1.0,2,,46,1,1,0,5,41,2,,2
362,R0.0,2,,46,2,0,0,2,22,2,,2
363,R1.1,2,,46,3,1,1,5,41,6,,6
364,R0.1,2,,46,4,0,1,2,22,6,,6
365,R1.0,2,,46,5,1,0,5,40,2,,2
366,R0.0,2,,46,6,0,0,2,23,2,,2
367,R1.1,2,,46,7,1,1,5,40,6,,6
368,R0.1,2,,46,8,0,1,2,23,6,,6
369,R1.0,2,,47,1,1,0,5,43,3,,3
370,R0.0,2,,47,2,0,0,2,20,3,,3
371,R1.1,2,,47,3,1,1,5,43,7,,7
372,R0.1,2,,47,4,0,1,2,20,7,,7
373,R1.0,2,,47,5,1,0,5,42,3,,3
374,R0.0,2,,47,6,0,0,2,21,3,,3
375,R1.1,2,,47,7,1,1,5,42,7,,7
376,R0.1,2,,47,8,0,1,2,21,7,,7
377,R1.0,2,,48,1,1,0,5,41,3,,3
378,R0.0,2,,48,2,0,0,2,22,3,,3
379,R1.1,2,,48,3,1,1,5,41,7,,7
380,R0.1,2,,48,4,0,1,2,22,7,,7
381,R1.0,2,,48,5,1,0,5,40,3,,3
382,R0.0,2,,48,6,0,0,2,23,3,,3
383,R1.1,2,,48,7,1,1,5,40,7,,7
384,R0.1,2,,48,8,0,1,2,23,7,,7
385,R1.1,3,,49,1,1,1,4,39,0,x,4
386,R0.1,3,,49,2,0,1,3,24,0,x,4
387,R1.0,3,,49,3,1,0,4,39,4,x,0
388,R0.0,3,,49,4,0,0,3,24,4,x,0
389,R1.1,3,,49,5,1,1,4,38,0,x,4
390,R0.1,3,,49,6,0,1,3,25,0,x,4
391,R1.0,3,,49,7,1,0,4,38,4,x,0
392,R0.0,3,,49,8,0,0,3,25,4,x,0
393,R1.1,3,,50,1,1,1,4,37,0,x,4
394,R0.1,3,,50,2,0,1,3,26,0,x,4
395,R1.0,3,,50,3,1,0,4,37,4,x,0
396,R0.0,3,,50,4,0,0,3,26,4,x,0
397,R1.1,3,,50,5,1,1,4,36,0,x,4
398,R0.1,3,,50,6,0,1,3,27,0,x,4
399,R1.0,3,,50,7,1,0,4,36,4,x,0
400,R0.0,3,,50,8,0,0,3,27,4,x,0
401,R1.1,3,,51,1,1,1,4,39,1,x,5
402,R0.1,3,,51,2,0,1,3,24,1,x,5
403,R1.0,3,,51,3,1,0,4,39,5,x,1
404,R0.0,3,,51,4,0,0,3,24,5,x,1
405,R1.1,3,,51,5,1,1,4,38,1,x,5
406,R0.1,3,,51,6,0,1,3,25,1,x,5
407,R1.0,3,,51,7,1,0,4,38,5,x,1
408,R0.0,3,,51,8,0,0,3,25,5,x,1
409,R1.1,3,,52,1,1,1,4,37,1,x,5
410,R0.1,3,,52,2,0,1,3,26,1,x,5
411,R1.0,3,,52,3,1,0,4,37,5,x,1
412,R0.0,3,,52,4,0,0,3,26,5,x,1
413,R1.1,3,,52,5,1,1,4,36,1,x,5
414,R0.1,3,,52,6,0,1,3,27,1,x,5
415,R1.0,3,,52,7,1,0,4,36,5,x,1
416,R0.0,3,,52,8,0,0,3,27,5,x,1
417,R1.0,3,,53,1,1,0,4,39,2,,2
418,R0.0,3,,53,2,0,0,3,24,2,,2
419,R1.1,3,,53,3,1,1,4,39,6,,6
420,R0.1,3,,53,4,0,1,3,24,6,,6
421,R1.0,3,,53,5,1,0,4,38,2,,2
422,R0.0,3,,53,6,0,0,3,25,2,,2
423,R1.1,3,,53,7,1,1,4,38,6,,6
424,R0.1,3,,53,8,0,1,3,25,6,,6
425,R1.0,3,,54,1,1,0,4,37,2,,2
426,R0.0,3,,54,2,0,0,3,26,2,,2
427,R1.1,3,,54,3,1,1,4,37,6,,6
428,R0.1,3,,54,4,0,1,3,26,6,,6
429,R1.0,3,,54,5,1,0,4,36,2,,2
430,R0.0,3,,54,6,0,0,3,27,2,,2
431,R1.1,3,,54,7,1,1,4,36,6,,6
432,R0.1,3,,54,8,0,1,3,27,6,,6
433,R1.0,3,,55,1,1,0,4,39,3,,3
434,R0.0,3,,55,2,0,0,3,24,3,,3
435,R1.1,3,,55,3,1,1,4,39,7,,7
436,R0.1,3,,55,4,0,1,3,24,7,,7
437,R1.0,3,,55,5,1,0,4,38,3,,3
438,R0.0,3,,55,6,0,0,3,25,3,,3
439,R1.1,3,,55,7,1,1,4,38,7,,7
440,R0.1,3,,55,8,0,1,3,25,7,,7
441,R1.0,3,,56,1,1,0,4,37,3,,3
442,R0.0,3,,56,2,0,0,3,26,3,,3
443,R1.1,3,,56,3,1,1,4,37,7,,7
444,R0.1,3,,56,4,0,1,3,26,7,,7
445,R1.0,3,,56,5,1,0,4,36,3,,3
446,R0.0,3,,56,6,0,0,3,27,3,,3
447,R1.1,3,,56,7,1,1,4,36,7,,7
448,R0.1,3,,56,8,0,1,3,27,7,,7
449,R1.1,3,,57,1,1,1,4,35,2,x,6
450,R0.1,3,,57,2,0,1,3,28,2,x,6
451,R1.0,3,,57,3,1,0,4,35,0,,0
452,R0.0,3,,57,4,0,0,3,28,0,,0
453,R1.1,3,,57,5,1,1,4,34,6,,6
454,R0.1,3,,57,6,0,1,3,29,6,,6
455,R1.0,3,,57,7,1,0,4,34,4,x,0
456,R0.0,3,,57,8,0,0,3,29,4,x,0
457,R1.1,3,,58,1,1,1,4,33,2,x,6
458,R0.1,3,,58,2,0,1,3,30,2,x,6
459,R1.0,3,,58,3,1,0,4,33,0,,0
460,R0.0,3,,58,4,0,0,3,30,0,,0
461,R1.1,3,,58,5,1,1,4,32,6,,6
462,R0.1,3,,58,6,0,1,3,31,6,,6
463,R1.0,3,,58,7,1,0,4,32,4,x,0
464,R0.0,3,,58,8,0,0,3,31,4,x,0
465,R1.1,3,,59,1,1,1,4,35,3,x,7
466,R0.1,3,,59,2,0,1,3,28,3,x,7
467,R1.0,3,,59,3,1,0,4,35,1,,1
468,R0.0,3,,59,4,0,0,3,28,1,,1
469,R1.1,3,,59,5,1,1,4,34,7,,7
470,R0.1,3,,59,6,0,1,3,29,7,,7
471,R1.0,3,,59,7,1,0,4,34,5,x,1
472,R0.0,3,,59,8,0,0,3,29,5,x,1
473,R1.1,3,,60,1,1,1,4,33,3,x,7
474,R0.1,3,,60,2,0,1,3,30,3,x,7
475,R1.0,3,,60,3,1,0,4,33,1,,1
476,R0.0,3,,60,4,0,0,3,30,1,,1
477,R1.1,3,,60,5,1,1,4,32,7,,7
478,R0.1,3,,60,6,0,1,3,31,7,,7
479,R1.0,3,,60,7,1,0,4,32,5,x,1
480,R0.0,3,,60,8,0,0,3,31,5,x,1
481,R1.0,3,,61,1,1,0,4,34,2,,2
482,R0.0,3,,61,2,0,0,3,29,2,,2
483,R1.1,3,,61,3,1,1,4,34,0,x,4
484,R0.1,3,,61,4,0,1,3,29,0,x,4
485,R1.0,3,,61,5,1,0,4,35,6,x,2
486,R0.0,3,,61,6,0,0,3,28,6,x,2
487,R1.1,3,,61,7,1,1,4,35,4,,4
488,R0.1,3,,61,8,0,1,3,28,4,,4
489,R1.0,3,,62,1,1,0,4,32,2,,2
490,R0.0,3,,62,2,0,0,3,31,2,,2
491,R1.1,3,,62,3,1,1,4,32,0,x,4
492,R0.1,3,,62,4,0,1,3,31,0,x,4
493,R1.0,3,,62,5,1,0,4,33,6,x,2
494,R0.0,3,,62,6,0,0,3,30,6,x,2
495,R1.1,3,,62,7,1,1,4,33,4,,4
496,R0.1,3,,62,8,0,1,3,30,4,,4
497,R1.0,3,,63,1,1,0,4,34,3,,3
498,R0.0,3,,63,2,0,0,3,29,3,,3
499,R1.1,3,,63,3,1,1,4,34,1,x,5
500,R0.1,3,,63,4,0,1,3,29,1,x,5
501,R1.0,3,,63,5,1,0,4,35,7,x,3
502,R0.0,3,,63,6,0,0,3,28,7,x,3
503,R1.1,3,,63,7,1,1,4,35,5,,5
